"Time (s)"	"Magnetic Field x (µT)"	"Magnetic Field y (µT)"	"Magnetic Field z (µT)"	"Absolute field (µT)"
5.523098290E0	2.511979866E1	3.250080109E1	3.508720016E1	5.402238398E1
5.533098046E0	2.476599884E1	3.128079987E1	3.700259781E1	5.441539657E1
5.543098290E0	2.369239998E1	3.161019897E1	3.363539886E1	5.188327816E1
5.553098534E0	2.569319916E1	3.223239899E1	4.135799789E1	5.839136937E1
5.563084863E0	2.616899872E1	3.273260117E1	4.287080002E1	5.995118987E1
5.573085595E0	2.569319916E1	3.235440063E1	4.240719986E1	5.920572880E1
5.583098534E0	2.526619911E1	3.204940033E1	4.248040009E1	5.890780314E1
5.593098046E0	2.524180031E1	3.215919876E1	4.277320099E1	5.916848207E1
5.603098534E0	2.459519958E1	3.152479935E1	4.243159866E1	5.830246463E1
5.613098534E0	2.560779953E1	3.248859787E1	4.300500107E1	5.967158876E1
5.623098534E0	2.524180031E1	3.222019958E1	4.232180023E1	5.887634940E1
5.633098290E0	2.375339890E1	3.198839951E1	4.167519760E1	5.765677547E1
5.643098534E0	2.514419937E1	3.212260056E1	4.285860062E1	5.916884210E1
5.653085351E0	2.551019859E1	3.226900101E1	4.260239792E1	5.922012299E1
5.663086327E0	2.671800041E1	3.296440125E1	4.241939926E1	5.999923940E1
5.673098046E0	2.622999954E1	3.225679779E1	4.223640060E1	5.926573560E1
5.683098534E0	2.755979919E1	3.292779922E1	4.350519943E1	6.112679340E1
5.693098046E0	2.508320045E1	3.214699936E1	4.283419800E1	5.913852409E1
5.703098534E0	2.471719933E1	3.206159973E1	4.277320099E1	5.889340237E1
5.713098290E0	2.398519897E1	3.220800018E1	4.124819946E1	5.756786434E1
5.723098534E0	2.516860008E1	3.243980026E1	4.246820068E1	5.907069612E1
5.733098290E0	2.546139908E1	3.230559921E1	4.300500107E1	5.950936649E1
5.743098290E0	2.540040016E1	3.215919876E1	4.259019852E1	5.910430951E1
5.753096825E0	2.482699966E1	3.217139816E1	4.233399963E1	5.868173734E1
5.763097802E0	2.449759865E1	3.197620010E1	4.207780075E1	5.825075990E1
5.773097558E0	2.665699959E1	3.268379974E1	4.333440018E1	6.047062619E1
5.783098046E0	2.520520020E1	3.222019958E1	4.155319977E1	5.831047752E1
5.793085839E0	2.470499992E1	3.213479996E1	4.177280045E1	5.820609286E1
5.803097802E0	2.385099983E1	3.234220123E1	4.086999893E1	5.731705668E1
5.813098534E0	2.503439903E1	3.225679779E1	4.290739822E1	5.923062519E1
5.823085107E0	2.540040016E1	3.215919876E1	4.280979919E1	5.926274800E1
5.833098290E0	2.480259895E1	3.185419846E1	4.272439957E1	5.878123163E1
5.843098534E0	2.354599953E1	3.151259995E1	4.260239792E1	5.798639804E1
5.853101220E0	2.420479965E1	3.171999931E1	4.282199860E1	5.852994316E1
5.863085595E0	2.411940002E1	3.189079857E1	4.157759857E1	5.768418495E1
5.873098046E0	2.453419876E1	3.223239899E1	4.257799911E1	5.876853292E1
5.883097802E0	2.443659973E1	3.225679779E1	4.189479828E1	5.824794016E1
5.893098046E0	2.533939934E1	3.219580078E1	4.300500107E1	5.939768399E1
5.903097802E0	2.453419876E1	3.180539894E1	4.245599747E1	5.844674526E1
5.913098290E0	2.488799858E1	3.213479996E1	4.235839844E1	5.870512550E1
5.923098046E0	2.319219971E1	3.142720032E1	4.241939926E1	5.766240093E1
5.933085839E0	2.498559952E1	3.242760086E1	4.221199799E1	5.880205995E1
5.943098534E0	2.552239990E1	3.252519989E1	4.254140091E1	5.932160075E1
5.953085107E0	2.388759995E1	3.178100014E1	4.251699829E1	5.820948844E1
5.963097802E0	2.491239929E1	3.202499771E1	4.184600067E1	5.828649834E1
5.973098046E0	2.544919968E1	3.223239899E1	4.312699890E1	5.955272742E1
5.983098046E0	2.686439896E1	3.275699997E1	4.357839966E1	6.077659002E1
5.993098290E0	2.662039948E1	3.259840012E1	4.290739822E1	6.010279678E1
6.003085107E0	2.410719872E1	3.139060020E1	4.146780014E1	5.732456070E1
6.013098290E0	2.665699959E1	3.250080109E1	4.283419800E1	6.001388353E1
6.023098290E0	2.490019989E1	3.213479996E1	4.246820068E1	5.878956874E1
6.033098534E0	2.510759926E1	3.215919876E1	4.360279846E1	5.971440060E1
6.043098534E0	2.536380005E1	3.245199966E1	4.316360092E1	5.966197348E1
6.053097802E0	2.477820015E1	3.202499771E1	4.257799911E1	5.875751603E1
6.063098290E0	2.496119881E1	3.196399879E1	4.339540100E1	5.939629191E1
6.073097802E0	2.461960030E1	3.226900101E1	4.248040009E1	5.875370232E1
6.083098534E0	2.461960030E1	3.208599854E1	4.209000015E1	5.837126120E1
6.093098046E0	2.357040024E1	3.190299988E1	4.165079880E1	5.751655596E1
6.103097558E0	2.540040016E1	3.259840012E1	4.304159927E1	5.966921557E1
6.113098534E0	2.485140038E1	3.174440002E1	4.265119934E1	5.868921399E1
6.123098290E0	2.479039955E1	3.220800018E1	4.307819748E1	5.922541924E1
6.133098046E0	2.521739960E1	3.232999802E1	4.283419800E1	5.929514763E1
6.143085351E0	2.338739967E1	3.132959938E1	4.216320038E1	5.749999763E1
6.153098046E0	2.511979866E1	3.211040115E1	4.221199799E1	5.868504853E1
6.163098046E0	2.463179970E1	3.209819794E1	4.219979858E1	5.846232007E1
6.173097558E0	2.420479965E1	3.222019958E1	4.271220016E1	5.872261600E1
6.183098534E0	2.427799988E1	3.151259995E1	4.267559814E1	5.834099682E1
6.193098046E0	2.452199936E1	3.223239899E1	4.224860001E1	5.852520995E1
6.203098046E0	2.443659973E1	3.201279831E1	4.216320038E1	5.830696466E1
6.213098290E0	2.443659973E1	3.195179939E1	4.283419800E1	5.876081525E1
6.223085839E0	2.464399910E1	3.215919876E1	4.196799850E1	5.833398371E1
6.233098290E0	2.452199936E1	3.212260056E1	4.140679932E1	5.785942403E1
6.243090234E0	2.613239861E1	3.247639847E1	4.205339813E1	5.921238898E1
6.253090478E0	2.488799858E1	3.195179939E1	4.185820007E1	5.824464672E1
6.263097802E0	2.670579910E1	3.263499832E1	4.270000076E1	6.001277269E1
6.273097558E0	2.655939865E1	3.245199966E1	4.271220016E1	5.985704622E1
6.283098046E0	2.705959892E1	3.308639908E1	4.355400085E1	6.102362402E1
6.293098046E0	2.640079880E1	3.252519989E1	4.244379807E1	5.963528150E1
6.303098046E0	2.442440033E1	3.137839890E1	4.327339935E1	5.876854890E1
6.313098290E0	2.581519890E1	3.214699936E1	4.324900055E1	5.975223938E1
6.323098046E0	2.719379997E1	3.291559982E1	4.266339874E1	6.035813997E1
6.333098534E0	2.619339943E1	3.293999863E1	4.165079880E1	5.921086660E1
6.343100732E0	2.641300011E1	3.289120102E1	4.355400085E1	6.063356059E1
6.353098046E0	2.809659958E1	3.308639908E1	4.327339935E1	6.129205335E1
6.363098534E0	2.637639999E1	3.237879944E1	4.289519882E1	5.986734679E1
6.373098046E0	2.640079880E1	3.276919937E1	4.216320038E1	5.956977481E1
6.383098046E0	2.414379883E1	3.189079857E1	4.201679993E1	5.801170168E1
6.393097802E0	2.680340004E1	3.286679840E1	4.333440018E1	6.063430489E1
6.403098534E0	2.629100037E1	3.265940094E1	4.249259949E1	5.969484217E1
6.413098046E0	2.548579979E1	3.169559860E1	4.271220016E1	5.897854699E1
6.423098290E0	2.636419868E1	3.224459839E1	4.389559937E1	6.051122822E1
6.433085107E0	2.459519958E1	3.202499771E1	4.210219955E1	5.833626255E1
6.443098046E0	2.627879906E1	3.240319824E1	4.243159866E1	5.950616020E1
6.453097802E0	2.696199989E1	3.286679840E1	4.304159927E1	6.049591014E1
6.463097802E0	2.555900002E1	3.273260117E1	4.174839783E1	5.888645330E1
6.473086083E0	2.581519890E1	3.264719772E1	4.291959763E1	5.978591702E1
6.483089013E0	2.664480019E1	3.285459900E1	4.328559875E1	6.052283133E1
6.493098290E0	2.663259888E1	3.267160034E1	4.278540039E1	6.006096302E1
6.503098046E0	2.557119942E1	3.191519928E1	4.301720047E1	5.935440776E1
6.513098046E0	2.644960022E1	3.259840012E1	4.276099777E1	5.992278342E1
6.523098046E0	2.643739891E1	3.309859848E1	4.221199799E1	5.980222451E1
6.533098290E0	2.688879967E1	3.264719772E1	4.328559875E1	6.051851061E1
6.543085595E0	2.491239929E1	3.220800018E1	4.235839844E1	5.875556852E1
6.553097802E0	2.560779953E1	3.256179810E1	4.244379807E1	5.930856672E1
6.563097558E0	2.707180023E1	3.279359818E1	4.265119934E1	6.022812677E1
6.573097802E0	2.483919907E1	3.217139816E1	4.277320099E1	5.900450316E1
6.583098046E0	2.621780014E1	3.237879944E1	4.318799973E1	6.000802461E1
6.593097802E0	2.531499863E1	3.193959999E1	4.251699829E1	5.889552060E1
6.603098046E0	2.532719994E1	3.219580078E1	4.256579971E1	5.907523974E1
6.613085595E0	2.491239929E1	3.214699936E1	4.279759979E1	5.903974724E1
6.623098046E0	2.612019920E1	3.232999802E1	4.306599808E1	5.985126372E1
6.633084863E0	2.659599876E1	3.253739929E1	4.313919830E1	6.022474519E1
6.643086327E0	2.676679993E1	3.261059952E1	4.251699829E1	5.989664367E1
6.653097802E0	2.516860008E1	3.193959999E1	4.290739822E1	5.911549120E1
6.663097802E0	2.510759926E1	3.203720093E1	4.254140091E1	5.887736896E1
6.673098046E0	2.491239929E1	3.228120041E1	4.179719925E1	5.839271704E1
6.683085595E0	2.636419868E1	3.245199966E1	4.223640060E1	5.943161440E1
6.693097558E0	2.568099976E1	3.246419907E1	4.291959763E1	5.962826368E1
6.703098046E0	2.614459991E1	3.258620071E1	4.333440018E1	6.019361113E1
6.713097558E0	2.704739952E1	3.322060013E1	4.211439896E1	6.007322776E1
6.723098290E0	2.708399963E1	3.279359818E1	4.276099777E1	6.031140894E1
6.733098046E0	2.472939873E1	3.213479996E1	4.232180023E1	5.861163114E1
6.743097802E0	2.475379944E1	3.195179939E1	4.248040009E1	5.863661367E1
6.753097802E0	2.505879974E1	3.228120041E1	4.128479767E1	5.809004960E1
6.763097802E0	2.330200005E1	3.203720093E1	4.188259888E1	5.764995697E1
6.773097802E0	2.431459999E1	3.182979965E1	4.271220016E1	5.855482868E1
6.783097802E0	2.555900002E1	3.209819794E1	4.318799973E1	5.957147063E1
6.793098046E0	2.572979927E1	3.261059952E1	4.300500107E1	5.979049998E1
6.803097802E0	2.476599884E1	3.202499771E1	4.224860001E1	5.851409556E1
6.813098046E0	2.418039894E1	3.196399879E1	4.222419739E1	5.821745234E1
6.823098046E0	2.568099976E1	3.252519989E1	4.235839844E1	5.925906086E1
6.833097802E0	2.414379883E1	3.214699936E1	4.195579910E1	5.810887770E1
6.843087060E0	2.551019859E1	3.195179939E1	4.321239853E1	5.948948733E1
6.853097802E0	2.570539856E1	3.228120041E1	4.307819748E1	5.965378876E1
6.863085595E0	2.548579979E1	3.213479996E1	4.316360092E1	5.954215149E1
6.873098046E0	2.555900002E1	3.228120041E1	4.346859741E1	5.987367821E1
6.883098046E0	2.486359978E1	3.187859917E1	4.176060104E1	5.812393206E1
6.893098534E0	2.551019859E1	3.208599854E1	4.209000015E1	5.875244375E1
6.903085839E0	2.591279984E1	3.250080109E1	4.254140091E1	5.947727346E1
6.913098534E0	2.574199867E1	3.274480057E1	4.200460052E1	5.915453427E1
6.923098534E0	2.549799919E1	3.220800018E1	4.282199860E1	5.933992587E1
6.933097802E0	2.597379875E1	3.283020020E1	4.312699890E1	6.010323037E1
6.943098534E0	2.670579910E1	3.257399750E1	4.348080063E1	6.053796364E1
