"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
1.833032245E0,1.139480019E1,-3.039019966E1,-3.120759964E1,4.502577020E1
1.843032001E0,1.154119968E1,-3.014620018E1,-3.187859917E1,4.536780533E1
1.853031757E0,1.154119968E1,-3.028039932E1,-3.065859985E1,4.460999460E1
1.863031757E0,1.174860001E1,-3.037800026E1,-3.069519997E1,4.475542205E1
1.873031513E0,7.832399845E0,-3.134179878E1,-4.086999893E1,5.209617693E1
1.883031757E0,5.990200043E0,-3.217139816E1,-4.115060043E1,5.257616639E1
1.893031513E0,3.281800032E0,-3.285459900E1,-4.221199799E1,5.359148870E1
1.903032245E0,7.661599636E0,-3.135400009E1,-4.079679871E1,5.202069026E1
1.913032245E0,9.162199974E0,-3.101239967E1,-3.098799896E1,4.478806673E1
1.923031757E0,6.953999996E0,-3.208599854E1,-4.006480026E1,5.179823972E1
1.933032001E0,9.833199501E0,-3.092700005E1,-3.115880013E1,4.498935396E1
1.943032245E0,9.442799568E0,-3.042679977E1,-2.942639923E1,4.336899330E1
1.953019061E0,9.784399986E0,-3.106119919E1,-3.113439941E1,4.505422738E1
1.963031757E0,1.008939934E1,-3.093919945E1,-3.065859985E1,4.470995176E1
1.973032245E0,8.039799690E0,-3.117099953E1,-3.156139946E1,4.508205326E1
1.983031513E0,9.894199371E0,-3.115880013E1,-2.979240036E1,4.423068082E1
1.993031513E0,9.906399727E0,-3.140279961E1,-2.930439949E1,4.407970517E1
2.003032001E0,9.845399857E0,-3.091479874E1,-3.104899979E1,4.490765043E1
2.013032001E0,1.017479992E1,-3.071959877E1,-3.046339989E1,4.444366136E1
2.023032001E0,9.967399597E0,-3.106119919E1,-3.087819862E1,4.491781718E1
2.033032245E0,9.857600212E0,-3.091479874E1,-3.082939911E1,4.475878587E1
2.043019305E0,1.101659966E1,-3.069519997E1,-3.015839958E1,4.441947584E1
2.053030292E0,9.808799744E0,-3.081719971E1,-3.075619888E1,4.463021532E1
2.063031268E0,9.772199631E0,-3.095139885E1,-3.063419914E1,4.463114533E1
2.073038837E0,1.045539951E1,-3.085379982E1,-3.036579895E1,4.453486374E1
2.083031513E0,1.000399971E1,-3.091479874E1,-3.112220001E1,4.499328977E1
2.093031757E0,1.051639938E1,-3.046339989E1,-3.054879951E1,4.440543368E1
2.103031513E0,8.405799866E0,-3.126859856E1,-3.154920006E1,4.520768465E1
2.113019061E0,9.333000183E0,-3.101239967E1,-3.093919945E1,4.478959576E1
2.123031757E0,1.154119968E1,-3.035359955E1,-3.020719910E1,4.435104478E1
2.133032001E0,1.222439957E1,-2.999979973E1,-3.012179947E1,4.423513006E1
2.143032001E0,1.150459957E1,-3.042679977E1,-3.031699944E1,4.446646389E1
2.153031757E0,1.127279949E1,-3.057320023E1,-3.065859985E1,4.474087980E1
2.163032001E0,1.198040009E1,-3.047559929E1,-3.018280029E1,4.453418431E1
