"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
1.736677072E0,1.108979988E1,-2.378999901E1,-3.611199951E1,4.464329987E1
1.746676828E0,1.113859940E1,-2.393639946E1,-3.769799805E1,4.602345785E1
1.756664621E0,1.040660000E1,-2.418039894E1,-3.771019745E1,4.598965110E1
1.766676828E0,1.055299950E1,-2.349720001E1,-3.783219910E1,4.576854264E1
1.776677072E0,1.073600006E1,-2.391199875E1,-3.779560089E1,4.599513918E1
1.786677072E0,1.155340004E1,-2.320439911E1,-3.763700104E1,4.569977065E1
1.796677072E0,1.021140003E1,-2.314340019E1,-3.734420013E1,4.510519867E1
1.806663889E0,1.116300011E1,-2.422920036E1,-3.838119888E1,4.674166396E1
1.816677072E0,1.126060009E1,-2.420479965E1,-3.619739914E1,4.497694015E1
1.826678293E0,1.060179996E1,-2.403400040E1,-3.801519775E1,4.620807936E1
1.836677317E0,1.126060009E1,-2.359479904E1,-3.568499756E1,4.423725474E1
1.846677317E0,1.329799938E1,-2.341180038E1,-3.661219788E1,4.544669645E1
1.856677561E0,1.311499977E1,-2.263099861E1,-3.618519974E1,4.464900892E1
1.866665354E0,1.240740013E1,-2.335079956E1,-3.739299774E1,4.579781325E1
1.876663889E0,1.238299942E1,-2.337520027E1,-3.566059875E1,4.440064150E1
1.886677561E0,1.277339935E1,-2.261879921E1,-3.844219971E1,4.639582446E1
1.896677072E0,1.183399963E1,-2.352159882E1,-3.803960037E1,4.626359643E1
1.906668283E0,1.373719978E1,-2.326539993E1,-3.902779770E1,4.746744658E1
1.916677072E0,1.224879932E1,-2.303359985E1,-3.231779861E1,4.153335905E1
1.926677072E0,1.073600006E1,-2.409499931E1,-3.235440063E1,4.174491502E1
1.936665354E0,1.252939987E1,-2.274079895E1,-3.176879883E1,4.102909184E1
1.946677561E0,1.429839993E1,-2.224059868E1,-3.251300049E1,4.190684515E1
1.956677317E0,1.212679958E1,-2.310680008E1,-3.081719971E1,4.038171957E1
1.966676828E0,1.326139927E1,-2.287500000E1,-3.047559929E1,4.034714968E1
1.976677317E0,1.263920021E1,-2.355819893E1,-3.198839951E1,4.168927706E1
1.986677317E0,1.184619999E1,-2.376560020E1,-3.181760025E1,4.144268202E1
1.996677072E0,9.930799484E0,-2.442440033E1,-3.334259796E1,4.250765753E1
2.006663889E0,1.184619999E1,-2.382659912E1,-3.137839890E1,4.114174519E1
2.016677317E0,1.228539944E1,-2.370459938E1,-3.150039864E1,4.129302829E1
2.026676828E0,1.244399929E1,-2.370459938E1,-3.146379852E1,4.131261027E1
2.036677561E0,1.293200016E1,-2.343619919E1,-3.184199905E1,4.159813655E1
2.046665110E0,1.122399998E1,-2.400959969E1,-3.300099945E1,4.232617414E1
2.056677317E0,1.015040016E1,-2.408279991E1,-3.292779922E1,4.203869452E1
2.066677317E0,1.080919933E1,-2.405839920E1,-3.276919937E1,4.206501860E1
2.076677317E0,1.230980015E1,-2.375339890E1,-3.257399750E1,4.215234812E1
2.086677317E0,1.095559978E1,-2.413159943E1,-3.272039795E1,4.210681298E1
2.096677317E0,1.221220016E1,-2.354599953E1,-3.275699997E1,4.214941249E1
2.106663889E0,1.140699959E1,-2.413159943E1,-3.141499901E1,4.122324457E1
2.116664865E0,1.301739979E1,-2.353380013E1,-3.081719971E1,4.090222785E1
2.126676828E0,1.267579937E1,-2.348499870E1,-3.189079857E1,4.158418073E1
2.136677561E0,1.008939934E1,-2.411940002E1,-3.229339981E1,4.155003138E1
2.146677072E0,1.097999954E1,-2.393639946E1,-3.178100014E1,4.127400609E1
2.156677805E0,1.288319969E1,-2.283839989E1,-3.230559921E1,4.160794496E1
2.166677072E0,1.285879993E1,-2.303359985E1,-3.096360016E1,4.067726629E1
2.176677317E0,1.280999947E1,-2.336299896E1,-3.156139946E1,4.130433080E1
2.186664133E0,1.239519978E1,-2.372900009E1,-3.060980034E1,4.066529601E1
2.196677561E0,1.234639931E1,-2.355819893E1,-3.119540024E1,4.099482051E1
2.206676584E0,1.206579971E1,-2.328979874E1,-3.241539764E1,4.169839628E1
2.216676584E0,1.032119942E1,-2.426580048E1,-3.328160095E1,4.246199703E1
2.226677561E0,1.268799973E1,-2.333860016E1,-3.256179810E1,4.202316373E1
2.236677072E0,1.280999947E1,-2.311899948E1,-3.150039864E1,4.112006004E1
2.246677072E0,1.304179955E1,-2.314340019E1,-3.165899849E1,4.132792873E1
2.256665110E0,1.122399998E1,-2.371679878E1,-3.176879883E1,4.120341368E1
2.266677561E0,1.061399937E1,-2.377779961E1,-3.223239899E1,4.143631597E1
2.276677317E0,1.033339977E1,-2.364360046E1,-3.232999802E1,4.136457138E1
