"Time (s)"	"Magnetic Field x (µT)"	"Magnetic Field y (µT)"	"Magnetic Field z (µT)"	"Absolute field (µT)"
9.744554900E-1	2.385099983E1	-6.401339722E1	-4.481060028E1	8.169807289E1
9.844552460E-1	2.491239929E1	-6.339119720E1	-4.393219757E1	8.105004321E1
9.944557340E-1	2.409499931E1	-6.372060013E1	-4.524979782E1	8.178281039E1
1.004442550E0	2.497340012E1	-6.318379974E1	-4.439579773E1	8.115941177E1
1.014442550E0	2.479039955E1	-6.337899780E1	-4.526199722E1	8.173193785E1
1.024442550E0	2.607139969E1	-6.253719711E1	-4.479840088E1	8.122509234E1
1.034455246E0	2.698639870E1	-6.214679718E1	-4.562799835E1	8.168478651E1
1.044455002E0	2.725479889E1	-6.241519928E1	-4.452999878E1	8.137199736E1
1.054455246E0	2.426580048E1	-6.378159714E1	-4.454219818E1	8.149189300E1
1.064455246E0	2.468059921E1	-6.354979706E1	-4.449340057E1	8.140866894E1
1.074455246E0	2.483919907E1	-6.373279953E1	-4.495700073E1	8.185345112E1
1.084455246E0	2.448539925E1	-6.348880005E1	-4.553039932E1	8.187417035E1
1.094455490E0	2.380220032E1	-6.358639908E1	-4.556699753E1	8.176873578E1
1.104442306E0	2.514419937E1	-6.317160034E1	-4.413959885E1	8.106285239E1
1.114455246E0	2.561999893E1	-6.323259735E1	-4.411520004E1	8.124590198E1
1.124455490E0	2.515639877E1	-6.317160034E1	-4.402980042E1	8.100690596E1
1.134455246E0	2.498559952E1	-6.342779922E1	-4.379800034E1	8.102857972E1
1.144455490E0	2.501000023E1	-6.329359818E1	-4.446899796E1	8.129619586E1
1.154455490E0	2.470499992E1	-6.315939713E1	-4.511560059E1	8.145467379E1
1.164455246E0	2.457079887E1	-6.309840012E1	-4.516439819E1	8.139382728E1
1.174455002E0	2.450979996E1	-6.261039734E1	-4.668939972E1	8.185775586E1
1.184455490E0	2.474160004E1	-6.334239960E1	-4.484719849E1	8.145966837E1
1.194447922E0	2.450979996E1	-6.356200027E1	-4.463980103E1	8.144673111E1
1.204456955E0	2.551019859E1	-6.326919937E1	-4.423719788E1	8.130615904E1
1.214455246E0	2.533939934E1	-6.326919937E1	-4.438359833E1	8.133253069E1
1.224455246E0	2.561999893E1	-6.358639908E1	-4.467639923E1	8.182661634E1
1.234455490E0	2.421699905E1	-6.324480057E1	-5.041040039E1	8.442497444E1
1.244455246E0	2.244799995E1	-6.380599976E1	-5.505859756E1	8.721563778E1
1.254455490E0	2.133779907E1	-6.386700058E1	-5.195980072E1	8.505360853E1
1.264455002E0	2.106939888E1	-6.404999542E1	-5.686420059E1	8.820350782E1
1.274455490E0	2.078879929E1	-6.473320007E1	-5.580279922E1	8.795745431E1
1.284442306E0	2.713279915E1	-6.154899979E1	-4.323679733E1	7.996179593E1
1.294460129E0	2.378999901E1	-6.315939713E1	-4.577439880E1	8.154979512E1
1.304455978E0	2.378999901E1	-6.354979706E1	-4.450559998E1	8.114979475E1
1.314455734E0	2.426580048E1	-6.346439743E1	-4.537179947E1	8.170164626E1
1.324455490E0	2.388759995E1	-6.362299728E1	-4.532299805E1	8.168645767E1
1.334455978E0	2.511979866E1	-6.292759705E1	-4.484719849E1	8.125366433E1
1.344455734E0	2.415600014E1	-6.383039856E1	-4.488380051E1	8.168468443E1
1.354455978E0	2.447319984E1	-6.369619751E1	-4.418840027E1	8.129426675E1
1.364455246E0	2.396080017E1	-6.397679901E1	-4.446899796E1	8.151467681E1
1.374443283E0	2.590060043E1	-6.303739929E1	-4.451779938E1	8.140263677E1
1.384455734E0	2.405839920E1	-6.354979706E1	-4.561579895E1	8.184243638E1
1.394455490E0	2.449759865E1	-6.337899780E1	-4.435919952E1	8.114658517E1
1.404442306E0	2.487579918E1	-6.364739990E1	-4.463980103E1	8.162419209E1
1.414455734E0	2.522959900E1	-6.234199905E1	-4.343199921E1	8.005870388E1
1.424455002E0	2.496119881E1	-6.325699997E1	-4.405419922E1	8.102642754E1
1.434455734E0	2.479039955E1	-6.351319885E1	-4.393219757E1	8.110812735E1
1.444455246E0	2.499779892E1	-6.329359818E1	-4.468859863E1	8.141277767E1
1.454455734E0	2.413159943E1	-6.364739990E1	-4.515219879E1	8.168259705E1
1.464455978E0	2.441219902E1	-6.320819855E1	-4.593299866E1	8.186007690E1
1.474455734E0	2.516860008E1	-6.246399689E1	-4.557920074E1	8.131834281E1
1.484455734E0	2.519299889E1	-6.320819855E1	-4.465200043E1	8.138651423E1
1.494442306E0	2.422920036E1	-6.385479736E1	-4.485939789E1	8.171202406E1
1.504442306E0	2.499779892E1	-6.342779922E1	-4.357839966E1	8.091385902E1
1.514455490E0	2.405839920E1	-6.361079788E1	-4.506679916E1	8.158527175E1
1.524455490E0	2.405839920E1	-6.394019699E1	-4.456660080E1	8.156799170E1
1.534455490E0	2.447319984E1	-6.319599915E1	-4.451779938E1	8.108332924E1
1.544455734E0	2.641300011E1	-6.276899719E1	-4.433480072E1	8.125988025E1
1.554455978E0	2.668140030E1	-6.264699936E1	-4.462759781E1	8.141355008E1
1.564455734E0	2.662039948E1	-6.262260056E1	-4.454219818E1	8.132799756E1
1.574455978E0	2.709619904E1	-6.267139816E1	-4.429819870E1	8.138942534E1
1.584455978E0	2.730360031E1	-6.252499771E1	-4.460319901E1	8.151262044E1
1.594449875E0	2.453419876E1	-6.359859848E1	-4.549379730E1	8.195361023E1
1.604455246E0	2.342399979E1	-6.375719833E1	-4.573780060E1	8.188779218E1
1.614455490E0	2.414379883E1	-6.325699997E1	-4.620140076E1	8.196914358E1
1.624458908E0	2.511979866E1	-6.318379974E1	-4.478619766E1	8.141867314E1
1.634455734E0	2.483919907E1	-6.329359818E1	-4.461539841E1	8.132403799E1
1.644455490E0	2.521739960E1	-6.320819855E1	-4.400539780E1	8.104115400E1
1.654455734E0	2.527840042E1	-6.324480057E1	-4.418840027E1	8.118815828E1
1.664455978E0	2.469279861E1	-6.373279953E1	-4.444459915E1	8.152868473E1
1.674455734E0	2.399740028E1	-6.326919937E1	-4.570119858E1	8.165455505E1
1.684455978E0	2.444879913E1	-6.313499832E1	-4.561579895E1	8.163683547E1
1.694455734E0	2.513199997E1	-6.292759705E1	-4.451779938E1	8.107610224E1
1.704455734E0	2.490019989E1	-6.333020020E1	-4.481060028E1	8.147836589E1
1.714455002E0	2.461960030E1	-6.345219803E1	-4.485939789E1	8.151485590E1
1.724455246E0	2.460739899E1	-6.365959930E1	-4.340760040E1	8.088441408E1
